title,combined
Awake,"after a devastating global event wiped out all electronics and eliminated people's ability to sleep, a former soldier may have found a solution with her daughter. markraso action adventure drama"
Bhuj: The Pride of India,"during the indo-pakistani war of 1971, the bhuj airbase is attacked and a race against time begins to rebuild the damaged airstrip. abhishekdudhaiya action drama history"
Voyagers,"a crew of astronauts on a multi-generational mission descend into paranoia and madness, not knowing what is real or not. neilburger adventure sciencefiction thriller"
A Boy Called Christmas,"in this origin story of father christmas, an ordinary boy--with a loyal pet mouse and a reindeer at his side--sets out on an extraordinary adventure to find his father, who is on a quest to discover the fabled village of elfhelm. gilkenan adventure drama family"
Till Death,"a woman is left handcuffed to her dead husband as part of a sick revenge plot. unable to unshackle, she has to survive as two killers arrive to finish her off. s.k.dale thriller"
Sarpatta Parambarai,"when sarpatta parambarai is challenged to a do-or-die match, will kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mother and dangerous politics? pa.ranjith action drama sport"
Maanaadu,"on the day of a public conference by the state's chief minister, his bodyguard and a police officer are stuck in a time loop. venkatprabhu action adventure sciencefiction"
Redemption Day,"when the love of his life is kidnapped and held for ransom by terrorists, a war hero brad paxton races against the clock to rescue her in a daring and deadly operation that pits him against the most powerful and shadowy forces. hichamhajji action drama thriller"
Benedetta,"a 17th-century nun in italy suffers from disturbing religious and erotic visions. she is assisted by a companion, and the relationship between the two women develops into a romantic love affair. paulverhoeven biography drama romance"
Bellbottom,"when an indian commercial airliner is hijacked by terrorists in the mid 1980s, a government agent is tasked with rescuing the 210 hostages. ranjittewari action thriller"
Shiddat,"a passionate love story involving two couples which highlights the contrast between a regular, mature yet egoistic husband and a unique, happy go lucky, enamored, overzealous boy chasing after the love of his life. kunaldeshmukh romance"
Werewolves Within,feature adaptation of the video game where werewolves attack a small town. joshruben comedy horror mystery
Karnan,"karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer. mariselvaraj action drama"
The Hating Game,"resolving to achieve professional success without compromising her ethics, lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis joshua, a rivalry that is complicated by her growing attraction to him. peterhutchings comedy romance"
Marcel the Shell with Shoes On,a cash-strapped documentary maker decides to make his newest documentary about a mollusk shell he finds living in his airbnb with his friends. deanfleischercamp animation comedy drama
The Innocents,"during the bright nordic summer, a group of children reveal their dark and mysterious powers when the adults aren't looking. in this original and gripping supernatural thriller, playtime takes a dangerous turn. eskilvogt drama fantasy horror"
Annette,a stand-up comedian and his opera singer wife have a two-year-old daughter with a surprising gift. leoscarax drama musical romance
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,tanjiro ventures to the south-southeast where he encounters a cowardly young man named zenitsu agatsuma. he is a fellow survivor from final selection and his sparrow asks tanjiro to help keep him in line. haruosotozaki animation action fantasy
The Boss Baby: Family Business,"the templeton brothers have become adults and drifted away from each other, but a new boss baby with a cutting-edge approach is about to bring them together again - and inspire a new family business. tommcgrath animation adventure comedy"
Below Zero,"on a lonely road, a prison transport is brutally assaulted. martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him. lluísquílez action adventure crime"
Vivo,"vivo, sony pictures animation's first-ever musical adventure featuring all-new original songs from lin-manuel miranda, will take audiences on an epic adventure to gorgeous and vibrant locations never before seen in animation. kirkdemicco,brandonjeffords animation adventure comedy"
A Classic Horror Story,"in this gruesome suspense film, strangers traveling in southern italy become stranded in the woods, where they must fight desperately to get out alive. robertodefeo,paolostrippoli drama horror mystery"
